Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
476.158,928.595,385.86,µm,Spot,Position,1,202
449.872,922.125,391.365,µm,Spot,Position,1,203
491.837,933.677,390.751,µm,Spot,Position,1,204
507.8,937.541,395.912,µm,Spot,Position,1,205
464.703,928.28,397.015,µm,Spot,Position,1,206
480.32,933.38,401.938,µm,Spot,Position,1,207
452.34,926.278,407.221,µm,Spot,Position,1,208
496.276,937.576,406.925,µm,Spot,Position,1,209
535.185,923.47,346.447,µm,Spot,Position,1,210
550.71,927.007,350.893,µm,Spot,Position,1,211
567.133,928.647,353.991,µm,Spot,Position,1,212
524.725,927.344,357.147,µm,Spot,Position,1,213
540.494,931.406,361.856,µm,Spot,Position,1,214
556.831,933.819,365.534,µm,Spot,Position,1,215
513.836,930.697,367.937,µm,Spot,Position,1,216
573.651,934.448,369.443,µm,Spot,Position,1,217
529.647,934.66,372.787,µm,Spot,Position,1,218
546.249,937.12,377.259,µm,Spot,Position,1,219
563.181,937.581,381.132,µm,Spot,Position,1,220
519.168,936.69,384.188,µm,Spot,Position,1,221
535.306,938.88,388.225,µm,Spot,Position,1,222
552.517,939.83,392.508,µm,Spot,Position,1,223
569.68,939.693,396.816,µm,Spot,Position,1,224
524.368,940.139,400.045,µm,Spot,Position,1,225
541.445,941.135,404.213,µm,Spot,Position,1,226
592.609,922.408,345.511,µm,Spot,Position,1,227
608.216,919.547,347.744,µm,Spot,Position,1,228
623.215,915.858,349.369,µm,Spot,Position,1,229
638.318,910.376,351.259,µm,Spot,Position,1,230
583.684,928.992,357.264,µm,Spot,Position,1,231
599.63,926.743,359.756,µm,Spot,Position,1,232
615.049,923.242,362.21,µm,Spot,Position,1,233
630.845,918.267,364.093,µm,Spot,Position,1,234
590.518,932.63,372.536,µm,Spot,Position,1,235
606.615,929.605,374.874,µm,Spot,Position,1,236
622.305,925.275,376.903,µm,Spot,Position,1,237
638.046,919.045,378.781,µm,Spot,Position,1,238
580.21,936.714,384.523,µm,Spot,Position,1,239
597.124,933.729,387.457,µm,Spot,Position,1,240
612.911,930.199,390.157,µm,Spot,Position,1,241
629.453,924.805,391.237,µm,Spot,Position,1,242
