Position X,Position Y,Position Z,Unit,Category,Collection,Time,Default.Labels,ID
349.799,137.781,452.751,µm,Spot,Position,1,,317
327.281,153.643,454.664,µm,Spot,Position,1,,318
362.986,130.791,457.914,µm,Spot,Position,1,,319
339.799,145.307,460.738,µm,Spot,Position,1,,320
317.897,162.442,461.647,µm,Spot,Position,1,,321
376.721,124.472,463.282,µm,Spot,Position,1,,322
353.058,137.809,466.333,µm,Spot,Position,1,,323
330.641,153.889,468.078,µm,Spot,Position,1,,324
366.306,131.016,471.967,µm,Spot,Position,1,,325
399.486,110.675,407.93,µm,Spot,Position,1,,326
389.99,114.701,416.708,µm,Spot,Position,1,,327
402.657,108.029,421.91,µm,Spot,Position,1,,328
392.104,112.165,431.299,µm,Spot,Position,1,,329
382.499,117.884,439.824,µm,Spot,Position,1,,331
396.109,111.584,444.457,µm,Spot,Position,1,,332
385.913,117.222,454.522,µm,Spot,Position,1,,333
400.459,111.64,458.907,µm,Spot,Position,1,,334
390.893,118.428,467.987,µm,Spot,Position,1,,335
567.947,109.565,472.37,µm,Spot,Position,1,,336
638.148,144.621,408.334,µm,Spot,Position,1,,337
628.438,135.197,409.737,µm,Spot,Position,1,,338
617.698,126.518,411.601,µm,Spot,Position,1,,339
606.86,117.853,412.976,µm,Spot,Position,1,,340
594.933,110.275,414.047,µm,Spot,Position,1,,342
635.167,138.322,421.136,µm,Spot,Position,1,,343
623.807,129.558,422.496,µm,Spot,Position,1,,344
613.127,121.003,424.224,µm,Spot,Position,1,,345
600.479,113.349,425.14,µm,Spot,Position,1,,346
630.198,134.297,433.913,µm,Spot,Position,1,,347
619.438,124.988,435.753,µm,Spot,Position,1,,348
606.6,116.911,436.693,µm,Spot,Position,1,,349
593.41,110.644,437.893,µm,Spot,Position,1,,350
635.957,139.836,444.577,µm,Spot,Position,1,,351
625.238,130.027,446.528,µm,Spot,Position,1,,352
612.304,122.494,447.807,µm,Spot,Position,1,,353
599.347,115.02,449.112,µm,Spot,Position,1,,354
585.36,108.869,449.607,µm,Spot,Position,1,,355
630.069,137.124,456.708,µm,Spot,Position,1,,356
617.756,128.569,458.26,µm,Spot,Position,1,,357
604.578,121.431,459.818,µm,Spot,Position,1,,358
590.577,114.766,460.339,µm,Spot,Position,1,,359
576.652,108.944,461.085,µm,Spot,Position,1,,360
635.562,143.926,466.765,µm,Spot,Position,1,,361
622.747,135.965,468.064,µm,Spot,Position,1,,362
610.237,127.901,469.932,µm,Spot,Position,1,,363
582.014,114.393,471.833,µm,Spot,Position,1,,364
596.159,120.991,471.515,µm,Spot,Position,1,,365
653.292,159.422,418.678,µm,Spot,Position,1,,366
659.908,171.468,416.786,µm,Spot,Position,1,,367
644.815,148.875,419.282,µm,Spot,Position,1,,368
659.475,165.428,427.998,µm,Spot,Position,1,,369
651.917,153.304,430.103,µm,Spot,Position,1,,370
641.396,143.662,432.054,µm,Spot,Position,1,,371
657.604,160.433,439.981,µm,Spot,Position,1,,372
647.617,149.454,442.576,µm,Spot,Position,1,,373
662.894,167.516,449.215,µm,Spot,Position,1,,374
652.458,157.068,452.031,µm,Spot,Position,1,,375
641.58,146.347,454.713,µm,Spot,Position,1,,376
657.897,164.377,461.725,µm,Spot,Position,1,,377
646.825,153.938,463.97,µm,Spot,Position,1,,378
300.527,187.968,407.617,µm,Spot,Position,1,,379
306.561,176.181,415.152,µm,Spot,Position,1,,380
292.153,196.563,414.013,µm,Spot,Position,1,,381
283.74,205.727,419.965,µm,Spot,Position,1,,382
297.83,184.558,421.829,µm,Spot,Position,1,,383
275.996,215.483,426.82,µm,Spot,Position,1,,384
289.141,193.346,427.864,µm,Spot,Position,1,,385
305.516,173.129,428.811,µm,Spot,Position,1,,386
280.156,203.212,433.949,µm,Spot,Position,1,,387
296.477,182.29,435.797,µm,Spot,Position,1,,388
272.712,213.889,439.09,µm,Spot,Position,1,,389
305.224,171.702,442.385,µm,Spot,Position,1,,390
287.653,191.928,441.701,µm,Spot,Position,1,,391
266.494,225.87,441.324,µm,Spot,Position,1,,392
279.042,201.713,447.588,µm,Spot,Position,1,,393
295.752,181.012,448.759,µm,Spot,Position,1,,394
260.271,236.201,448.133,µm,Spot,Position,1,,395
270.701,212.432,452.578,µm,Spot,Position,1,,396
287.508,191.129,454.74,µm,Spot,Position,1,,397
264.432,224.498,456.572,µm,Spot,Position,1,,398
278.849,201.356,460.739,µm,Spot,Position,1,,399
297.142,180.727,461.84,µm,Spot,Position,1,,400
271.123,212.826,466.115,µm,Spot,Position,1,,401
288.071,190.778,468.101,µm,Spot,Position,1,,402
263.907,224.687,470.446,µm,Spot,Position,1,,403
665.497,178.541,425.201,µm,Spot,Position,1,,404
670.611,185.592,433.484,µm,Spot,Position,1,,405
664.74,172.631,437.408,µm,Spot,Position,1,,406
674.845,194.021,441.67,µm,Spot,Position,1,,407
670.52,179.481,446.069,µm,Spot,Position,1,,408
679.284,201.874,449.63,µm,Spot,Position,1,,409
675.141,187.782,454.564,µm,Spot,Position,1,,410
682.547,210.087,458.09,µm,Spot,Position,1,,411
667.433,175.686,458.689,µm,Spot,Position,1,,412
677.624,196.979,462.455,µm,Spot,Position,1,,413
671.859,184.658,466.664,µm,Spot,Position,1,,414
680.691,207.199,469.545,µm,Spot,Position,1,,415
662.978,172.783,470.2,µm,Spot,Position,1,,416
251.904,248.479,465.671,µm,Spot,Position,1,,417
258.034,237.377,461.044,µm,Spot,Position,1,,418
748.941,746.894,463.254,µm,Spot,Position,1,,419
749.587,737.712,471.264,µm,Spot,Position,1,,420
321.791,816.189,471.327,µm,Spot,Position,1,,421
728.122,810.99,416.556,µm,Spot,Position,1,,422
737.597,790.416,424.551,µm,Spot,Position,1,,423
733.423,803.702,426.562,µm,Spot,Position,1,,424
727.266,816.967,428.476,µm,Spot,Position,1,,425
741.415,783.985,433.459,µm,Spot,Position,1,,426
738.888,797.01,435.959,µm,Spot,Position,1,,427
731.771,810.345,438.853,µm,Spot,Position,1,,428
748.9,764.384,441.988,µm,Spot,Position,1,,429
745.895,777.001,443.578,µm,Spot,Position,1,,430
742.064,789.505,446.006,µm,Spot,Position,1,,431
736.348,802.539,448.302,µm,Spot,Position,1,,432
728.638,814.933,451.155,µm,Spot,Position,1,,433
747.994,767.277,451.834,µm,Spot,Position,1,,434
745.193,780.694,455.166,µm,Spot,Position,1,,435
748.525,756.515,456.608,µm,Spot,Position,1,,436
739.393,793.776,457.984,µm,Spot,Position,1,,437
732.473,806.821,460.532,µm,Spot,Position,1,,438
746.553,771.11,463.095,µm,Spot,Position,1,,439
723.736,819.089,463.285,µm,Spot,Position,1,,440
742.149,784.647,466.791,µm,Spot,Position,1,,441
735.093,797.566,469.427,µm,Spot,Position,1,,443
748.02,761.114,470.22,µm,Spot,Position,1,,444
726.989,810.02,472.27,µm,Spot,Position,1,,445
374.271,857.113,410.344,µm,Spot,Position,1,,446
363.545,850.36,416.916,µm,Spot,Position,1,,447
371.701,860.024,423.824,µm,Spot,Position,1,,448
361.383,851.896,428.967,µm,Spot,Position,1,,449
351.122,843.389,432.312,µm,Spot,Position,1,,452
370.16,862.137,436.339,µm,Spot,Position,1,,453
341.834,835.154,438.229,µm,Spot,Position,1,,454
359.088,854.546,442.165,µm,Spot,Position,1,,455
349.442,845.533,446.104,µm,Spot,Position,1,,456
339.712,835.421,450.217,µm,Spot,Position,1,,457
369.591,863.368,449.385,µm,Spot,Position,1,,458
330.565,824.997,454.201,µm,Spot,Position,1,,459
359.084,855.386,454.8,µm,Spot,Position,1,,460
349.055,846.197,459.625,µm,Spot,Position,1,,461
370.43,863.637,462.116,µm,Spot,Position,1,,462
338.42,836.867,463.517,µm,Spot,Position,1,,463
330.411,825.848,467.188,µm,Spot,Position,1,,464
359.785,855.247,467.702,µm,Spot,Position,1,,465
350.065,845.876,472.287,µm,Spot,Position,1,,466
414.061,883.654,407.754,µm,Spot,Position,1,,467
392.4,872.659,410.409,µm,Spot,Position,1,,468
403.269,880.127,415.552,µm,Spot,Position,1,,469
382.49,866.66,417.476,µm,Spot,Position,1,,470
391.356,875.551,423.131,µm,Spot,Position,1,,471
403.107,882.887,428.779,µm,Spot,Position,1,,472
380.381,869.746,430.26,µm,Spot,Position,1,,473
391.25,877.562,436.535,µm,Spot,Position,1,,474
404.224,884.049,442.037,µm,Spot,Position,1,,475
380.865,870.188,442.892,µm,Spot,Position,1,,476
392.97,878.432,449.59,µm,Spot,Position,1,,477
406.25,884.31,454.952,µm,Spot,Position,1,,478
381.964,870.91,455.944,µm,Spot,Position,1,,479
395.299,877.964,462.442,µm,Spot,Position,1,,480
408.566,883.505,468.54,µm,Spot,Position,1,,481
383.702,870.659,468.764,µm,Spot,Position,1,,482
699.655,850.863,410.272,µm,Spot,Position,1,,483
690.389,861.526,411.145,µm,Spot,Position,1,,484
679.077,871.206,412.024,µm,Spot,Position,1,,485
667.31,880.165,412.493,µm,Spot,Position,1,,486
695.788,857.207,422.496,µm,Spot,Position,1,,487
684.371,866.961,423.424,µm,Spot,Position,1,,488
672.965,875.603,423.838,µm,Spot,Position,1,,489
660.386,884.315,424.516,µm,Spot,Position,1,,490
700.702,851.679,433.256,µm,Spot,Position,1,,491
689.549,861.493,434.759,µm,Spot,Position,1,,492
678.101,871.328,435.509,µm,Spot,Position,1,,493
665.325,879.333,435.94,µm,Spot,Position,1,,494
694.53,856.078,445.728,µm,Spot,Position,1,,495
683.529,865.43,446.836,µm,Spot,Position,1,,496
670.616,874.46,447.635,µm,Spot,Position,1,,497
657.443,882.205,447.562,µm,Spot,Position,1,,498
699.503,849.419,456.481,µm,Spot,Position,1,,499
688.155,859.318,457.56,µm,Spot,Position,1,,500
675.264,868.228,458.585,µm,Spot,Position,1,,501
662.28,877.485,458.726,µm,Spot,Position,1,,502
648.335,883.919,459.099,µm,Spot,Position,1,,503
703.51,841.828,467.074,µm,Spot,Position,1,,504
691.505,851.671,468.154,µm,Spot,Position,1,,505
679.375,861.04,469.095,µm,Spot,Position,1,,506
666.777,869.707,469.792,µm,Spot,Position,1,,507
653.391,877.589,470.229,µm,Spot,Position,1,,508
708.519,839.514,408.52,µm,Spot,Position,1,,509
722.541,822.757,417.637,µm,Spot,Position,1,,510
713.784,834.784,419.822,µm,Spot,Position,1,,511
705.961,846.215,420.858,µm,Spot,Position,1,,512
719.5,829.11,430.581,µm,Spot,Position,1,,513
710.655,840.476,431.995,µm,Spot,Position,1,,514
723.944,822.458,440.753,µm,Spot,Position,1,,515
715.716,834.602,442.677,µm,Spot,Position,1,,516
705.98,845.601,444.617,µm,Spot,Position,1,,517
719.522,826.448,452.997,µm,Spot,Position,1,,518
710.285,838.495,454.866,µm,Spot,Position,1,,519
714.282,830.475,465.115,µm,Spot,Position,1,,520
424.755,891.068,413.106,µm,Spot,Position,1,,521
437.127,898.18,418.248,µm,Spot,Position,1,,522
414.134,887.536,421.172,µm,Spot,Position,1,,523
426.149,894.154,426.268,µm,Spot,Position,1,,524
439.531,899.21,431.66,µm,Spot,Position,1,,525
415.352,889.586,434.601,µm,Spot,Position,1,,526
